Date,Total_Value,Cash_Accumulated
2016-02-25,12416.55164361,13000
2016-02-26,12388.061226844788,13000
2016-02-29,13060.404723405838,14000
2016-03-01,14309.83007645607,14000
2016-03-02,14325.256606340408,14000
2016-03-03,14245.045358896255,14000
2016-03-04,14269.726217985153,14000
2016-03-07,14004.415147066116,14000
2016-03-08,13634.214617490768,14000
2016-03-09,13894.898965120316,14000
2016-03-10,13842.452470541,14000
2016-03-11,14559.714617490768,14000
2016-03-14,14644.55347084999,14000
2016-03-15,14635.299141645432,14000
2016-03-16,15008.58179974556,14000
2016-03-17,14965.394930124283,14000
2016-03-18,15051.773965120316,14000
2016-03-21,15230.70335316658,14000
2016-03-22,15366.444106340408,14000
2016-03-23,15000.87118268013,14000
2016-03-24,14996.24445939064,14000
2016-03-28,14942.257783174515,14000
2016-03-29,15656.432505846024,14000
2016-03-30,15890.894930124283,14000
2016-03-31,16798.34457707405,15000
2016-04-01,17357.726009607315,15000
2016-04-04,17142.83245253563,15000
2016-04-05,16681.87264084816,15000
2016-04-06,17480.757259607315,15000
2016-04-07,16726.163965940475,15000
2016-04-08,16686.79494214058,15000
2016-04-11,16507.990751981735,15000
2016-04-12,16893.48654103279,15000
2016-04-13,17552.934116125107,15000
2016-04-14,17564.417608499527,15000
2016-04-15,17429.902866125107,15000
2016-04-18,17687.448858499527,15000
2016-04-19,17382.331884145737,15000
2016-04-20,17424.98244214058,15000
2016-04-21,17429.902866125107,15000
2016-04-22,16640.864727258682,15000
2016-04-25,16627.738590478897,15000
2016-04-26,16399.7245285511,15000
2016-04-27,16006.023026704788,15000
2016-04-28,15438.438697338104,15000
2016-04-29,16192.376197338104,16000
2016-05-02,16620.716330051422,16000
2016-05-03,16178.39054441452,16000
2016-05-04,15858.445224285126,16000
2016-05-05,15849.700689792633,16000
2016-05-06,16078.7352643013,16000
2016-05-09,16220.350504398346,16000
2016-05-10,16900.451397418976,16000
2016-05-11,16438.890837192535,16000
2016-05-12,16208.110557079315,16000
2016-05-13,16012.29641008377,16000
2016-05-16,16629.460864543915,16000
2016-05-17,15991.315929889679,16000
2016-05-18,16173.145424365997,16000
2016-05-19,15917.886250019073,16000
2016-05-20,16449.38107728958,16000
2016-05-23,16368.95556974411,16000
2016-05-24,17370.75149011612,16000
2016-05-25,17744.89671754837,16000
2016-05-26,17893.50478410721,16000
2016-05-27,18162.745609760284,16000
2016-05-31,19271.145424365997,17000
2016-06-01,19278.517779827118,17000
2016-06-02,19387.301167964935,17000
2016-06-03,19121.801421165466,17000
2016-06-06,19326.457080364227,17000
2016-06-07,19190.017864227295,17000
2016-06-08,19274.831602096558,17000
2016-06-09,19190.017864227295,17000
2016-06-10,18544.70677089691,17000
2016-06-13,18069.018933296204,17000
2016-06-14,18078.235432624817,17000
2016-06-15,17915.988752365112,17000
2016-06-16,18045.04928302765,17000
2016-06-17,17427.39401769638,17000
2016-06-20,17740.830955028534,17000
2016-06-21,17917.83078622818,17000
2016-06-22,17801.672932624817,17000
2016-06-23,18552.083346366882,17000
2016-06-24,16280.58023762703,17000
2016-06-27,15332.896015167236,17000
2016-06-28,15613.435153961182,17000
2016-06-29,15879.865711212158,17000
2016-06-30,17092.34550857544,18000
2016-07-01,17127.546314239502,18000
2016-07-05,17008.745777130127,18000
2016-07-06,17108.186206817627,18000
2016-07-07,17096.745777130127,18000
2016-07-08,17353.705615997314,18000
2016-07-11,17413.546314239502,18000
2016-07-12,17534.985401153564,18000
2016-07-13,17528.826099395752,18000
2016-07-14,17630.025562286377,18000
2016-07-15,17603.62529373169,18000
2016-07-18,17653.78593826294,18000
2016-07-19,17634.425830841064,18000
2016-07-20,17704.826099395752,18000
2016-07-21,17638.826099395752,18000
2016-07-22,17719.78593826294,18000
2016-07-25,17677.546314239502,18000
2016-07-26,17676.665454864502,18000
2016-07-27,17665.22636795044,18000
2016-07-28,17684.585132598877,18000
2016-07-29,18715.385669708252,19000
2016-08-01,18693.99606704712,19000
2016-08-02,18578.67555618286,19000
2016-08-03,18631.686237335205,19000
2016-08-04,18649.356464385986,19000
2016-08-05,18798.155612945557,19000
2016-08-08,18788.856464385986,19000
2016-08-09,18800.945499420166,19000
2016-08-10,18753.516010284424,19000
2016-08-11,18844.655612945557,19000
2016-08-12,18826.055896759033,19000
2016-08-15,18879.99606704712,19000
2016-08-16,18783.275272369385,19000
2016-08-17,18813.96544265747,19000
2016-08-18,18858.606464385986,19000
2016-08-19,18832.565158843994,19000
2016-08-22,18830.70618057251,19000
2016-08-23,18865.115726470947,19000
2016-08-24,18774.905612945557,19000
2016-08-25,18760.025272369385,19000
2016-08-26,18724.686237335205,19000
2016-08-29,18818.615726470947,19000
2016-08-30,18783.275272369385,19000
2016-08-31,19737.70618057251,20000
2016-09-01,19733.785343170166,20000
2016-09-02,19821.005283355713,20000
2016-09-06,19882.745761871338,20000
2016-09-07,19881.766300201416,20000
2016-09-08,19835.70618057251,20000
2016-09-09,19361.3850440979,20000
2016-09-12,19635.785343170166,20000
2016-09-13,19273.18564224243,20000
2016-09-14,19261.426120758057,20000
2016-09-15,19457.426120758057,20000
2016-09-16,19381.965702056885,20000
2016-09-19,19387.845462799072,20000
2016-09-20,19389.805881500244,20000
